;Region;Country_code;Name;Substance;Year;CO2_emissions
36;Ukraine +;BLR;Belarus;CO2;1970;60088.81766
37;Ukraine +;MDA;Moldova;CO2;1970;19290.10015
38;Central Europe;SRB;Serbia;CO2;1970;29025.120057599997
39;Central Europe;MNE;Montenegro;CO2;1970;1209.3800024
40;Central Europe;ALB;Albania;CO2;1971;4838.128768
41;OECD_Europe;AUT;Austria;CO2;1971;55633.25031
42;OECD_Europe;BEL;Belgium;CO2;1971;129138.8995
43;Central Europe;BGR;Bulgaria;CO2;1971;69000.51839
44;Central Europe;BIH;Bosnia and Herzegovina;CO2;1971;11573.24964
45;OECD_Europe;CHE;Switzerland;CO2;1971;43409.27778
46;Central Europe;CYP;Cyprus;CO2;1971;2184.266587
47;Central Europe;CZE;Czech Republic;CO2;1971;188545.3784
48;OECD_Europe;DEU;Germany;CO2;1971;1077419.205
49;OECD_Europe;DNK;Denmark;CO2;1971;57684.29012
50;OECD_Europe;ESP;Spain;CO2;1971;140882.4552
51;Central Europe;EST;Estonia;CO2;1971;21289.37711
52;OECD_Europe;FIN;Finland;CO2;1971;40655.44119
53;OECD_Europe;FRA;France;CO2;1971;481554.4969
54;OECD_Europe;GBR;United Kingdom;CO2;1971;668671.3931
55;OECD_Europe;GRC;Greece;CO2;1971;29907.43568
56;Central Europe;HRV;Croatia;CO2;1971;21441.1586
57;Central Europe;HUN;Hungary;CO2;1971;67923.2424
58;OECD_Europe;IRL;Ireland;CO2;1971;23139.7557
59;OECD_Europe;ISL;Iceland;CO2;1971;2033.354511
60;OECD_Europe;ITA;Italy;CO2;1971;329601.7783
61;Central Europe;LTU;Lithuania;CO2;1971;19992.98655
62;OECD_Europe;LUX;Luxembourg;CO2;1971;18282.16999
63;Central Europe;LVA;Latvia;CO2;1971;11354.42042
64;Central Europe;MKD;North Macedonia;CO2;1971;8536.494654
65;Central Europe;MLT;Malta;CO2;1971;682.8746144
66;OECD_Europe;NLD;Netherlands;CO2;1971;134713.9438
67;OECD_Europe;NOR;Norway;CO2;1971;34683.90182
68;Central Europe;POL;Poland;CO2;1971;317576.9884
69;OECD_Europe;PRT;Portugal;CO2;1971;17799.36552
70;Central Europe;ROU;Romania;CO2;1971;127465.2937
71;Central Europe;SVK;Slovakia;CO2;1971;43842.33032
72;Central Europe;SVN;Slovenia;CO2;1971;10379.2908
73;OECD_Europe;SWE;Sweden;CO2;1971;88973.85235
74;Russia +;RUS;Russia;CO2;1971;1308974.669
75;Ukraine +;UKR;Ukraine;CO2;1971;476857.2019
76;Ukraine +;BLR;Belarus;CO2;1971;60184.86215
77;Ukraine +;MDA;Moldova;CO2;1971;19307.06947
78;Central Europe;SRB;Serbia;CO2;1971;29147.369568
79;Central Europe;MNE;Montenegro;CO2;1971;1214.4737320000002
80;Central Europe;ALB;Albania;CO2;1972;5518.291373
81;OECD_Europe;AUT;Austria;CO2;1972;57846.1379
82;OECD_Europe;BEL;Belgium;CO2;1972;140747.5856
83;Central Europe;BGR;Bulgaria;CO2;1972;71312.25276
84;Central Europe;BIH;Bosnia and Herzegovina;CO2;1972;11369.59372
85;OECD_Europe;CHE;Switzerland;CO2;1972;44107.60632
86;Central Europe;CYP;Cyprus;CO2;1972;2663.431358
87;Central Europe;CZE;Czech Republic;CO2;1972;188477.2515
88;OECD_Europe;DEU;Germany;CO2;1972;1105290.332
89;OECD_Europe;DNK;Denmark;CO2;1972;59732.37415
90;OECD_Europe;ESP;Spain;CO2;1972;153238.7209
91;Central Europe;EST;Estonia;CO2;1972;23155.76476
92;OECD_Europe;FIN;Finland;CO2;1972;44347.85687
93;OECD_Europe;FRA;France;CO2;1972;499104.2967
94;OECD_Europe;GBR;United Kingdom;CO2;1972;657717.1531
95;OECD_Europe;GRC;Greece;CO2;1972;36728.87309
96;Central Europe;HRV;Croatia;CO2;1972;21303.26504
97;Central Europe;HUN;Hungary;CO2;1972;70050.63486
98;OECD_Europe;IRL;Ireland;CO2;1972;22768.33573
99;OECD_Europe;ISL;Iceland;CO2;1972;2246.690628
100;OECD_Europe;ITA;Italy;CO2;1972;347705.2909
101;Central Europe;LTU;Lithuania;CO2;1972;21306.05094
102;OECD_Europe;LUX;Luxembourg;CO2;1972;17911.92771
103;Central Europe;LVA;Latvia;CO2;1972;12078.61675
104;Central Europe;MKD;North Macedonia;CO2;1972;8614.522777
105;Central Europe;MLT;Malta;CO2;1972;856.0947772
106;OECD_Europe;NLD;Netherlands;CO2;1972;150482.844
107;OECD_Europe;NOR;Norway;CO2;1972;37676.88108
108;Central Europe;POL;Poland;CO2;1972;330903.2987
109;OECD_Europe;PRT;Portugal;CO2;1972;18195.12698
110;Central Europe;ROU;Romania;CO2;1972;133081.5274
111;Central Europe;SVK;Slovakia;CO2;1972;44587.8935
112;Central Europe;SVN;Slovenia;CO2;1972;10159.18166
113;OECD_Europe;SWE;Sweden;CO2;1972;89174.16314
114;Russia +;RUS;Russia;CO2;1972;1377090.34
115;Ukraine +;UKR;Ukraine;CO2;1972;502411.4909
116;Ukraine +;BLR;Belarus;CO2;1972;64294.58139
117;Ukraine +;MDA;Moldova;CO2;1972;20423.17167
118;Central Europe;SRB;Serbia;CO2;1972;29288.441759999998
119;Central Europe;MNE;Montenegro;CO2;1972;1220.35174
120;Central Europe;ALB;Albania;CO2;1973;4951.942493
121;OECD_Europe;AUT;Austria;CO2;1973;61156.04838
122;OECD_Europe;BEL;Belgium;CO2;1973;146145.7639
123;Central Europe;BGR;Bulgaria;CO2;1973;72292.66432
124;Central Europe;BIH;Bosnia and Herzegovina;CO2;1973;12389.46492
125;OECD_Europe;CHE;Switzerland;CO2;1973;47735.58737
126;Central Europe;CYP;Cyprus;CO2;1973;2771.585228
127;Central Europe;CZE;Czech Republic;CO2;1973;186522.5336
128;OECD_Europe;DEU;Germany;CO2;1973;1157720.284
129;OECD_Europe;DNK;Denmark;CO2;1973;58782.79423
130;OECD_Europe;ESP;Spain;CO2;1973;166121.3971
131;Central Europe;EST;Estonia;CO2;1973;26464.63245
132;OECD_Europe;FIN;Finland;CO2;1973;48420.89299
133;OECD_Europe;FRA;France;CO2;1973;535747.3182
134;OECD_Europe;GBR;United Kingdom;CO2;1973;690030.9905
135;OECD_Europe;GRC;Greece;CO2;1973;39298.2914
136;Central Europe;HRV;Croatia;CO2;1973;22502.32994
137;Central Europe;HUN;Hungary;CO2;1973;74870.09395
138;OECD_Europe;IRL;Ireland;CO2;1973;22336.45995
139;OECD_Europe;ISL;Iceland;CO2;1973;2583.411372
140;OECD_Europe;ITA;Italy;CO2;1973;369867.8394
141;Central Europe;LTU;Lithuania;CO2;1973;22894.74006
142;OECD_Europe;LUX;Luxembourg;CO2;1973;19344.83532
143;Central Europe;LVA;Latvia;CO2;1973;13031.08294
144;Central Europe;MKD;North Macedonia;CO2;1973;9978.333716
145;Central Europe;MLT;Malta;CO2;1973;822.1991165
146;OECD_Europe;NLD;Netherlands;CO2;1973;156795.2531
147;OECD_Europe;NOR;Norway;CO2;1973;38250.34462
148;Central Europe;POL;Poland;CO2;1973;348591.0199
149;OECD_Europe;PRT;Portugal;CO2;1973;20358.07685
150;Central Europe;ROU;Romania;CO2;1973;145231.1429
151;Central Europe;SVK;Slovakia;CO2;1973;45970.35943
152;Central Europe;SVN;Slovenia;CO2;1973;11661.37944
153;OECD_Europe;SWE;Sweden;CO2;1973;90262.42589
154;Russia +;RUS;Russia;CO2;1973;1460888.919
155;Ukraine +;UKR;Ukraine;CO2;1973;532107.9898
156;Ukraine +;BLR;Belarus;CO2;1973;70266.75364
157;Ukraine +;MDA;Moldova;CO2;1973;21753.91257
158;Central Europe;SRB;Serbia;CO2;1973;31851.7645344
159;Central Europe;MNE;Montenegro;CO2;1973;1327.1568556000002
160;Central Europe;ALB;Albania;CO2;1974;5329.617357
161;OECD_Europe;AUT;Austria;CO2;1974;58667.61229
162;OECD_Europe;BEL;Belgium;CO2;1974;144977.6825
163;Central Europe;BGR;Bulgaria;CO2;1974;73160.42998
164;Central Europe;BIH;Bosnia and Herzegovina;CO2;1974;13418.69376
165;OECD_Europe;CHE;Switzerland;CO2;1974;43044.50493
166;Central Europe;CYP;Cyprus;CO2;1974;2122.186764
167;Central Europe;CZE;Czech Republic;CO2;1974;169764.7159
168;OECD_Europe;DEU;Germany;CO2;1974;1122506.646
169;OECD_Europe;DNK;Denmark;CO2;1974;52382.01993
170;OECD_Europe;ESP;Spain;CO2;1974;178550.5917
171;Central Europe;EST;Estonia;CO2;1974;29486.72524
172;OECD_Europe;FIN;Finland;CO2;1974;44608.27588
173;OECD_Europe;FRA;France;CO2;1974;517007.5673
174;OECD_Europe;GBR;United Kingdom;CO2;1974;644640.1903
175;OECD_Europe;GRC;Greece;CO2;1974;38510.37606
176;Central Europe;HRV;Croatia;CO2;1974;23129.82087
177;Central Europe;HUN;Hungary;CO2;1974;76916.92165
178;OECD_Europe;IRL;Ireland;CO2;1974;24169.40313
179;OECD_Europe;ISL;Iceland;CO2;1974;2528.626556
180;OECD_Europe;ITA;Italy;CO2;1974;372397.7757
181;Central Europe;LTU;Lithuania;CO2;1974;24488.87408
182;OECD_Europe;LUX;Luxembourg;CO2;1974;17808.67142
183;Central Europe;LVA;Latvia;CO2;1974;13943.50498
184;Central Europe;MKD;North Macedonia;CO2;1974;10252.37254
185;Central Europe;MLT;Malta;CO2;1974;752.8461829
186;OECD_Europe;NLD;Netherlands;CO2;1974;148741.5481
187;OECD_Europe;NOR;Norway;CO2;1974;36669.81551
188;Central Europe;POL;Poland;CO2;1974;361758.318
189;OECD_Europe;PRT;Portugal;CO2;1974;20419.32029
190;Central Europe;ROU;Romania;CO2;1974;147169.0537
191;Central Europe;SVK;Slovakia;CO2;1974;46719.73579
192;Central Europe;SVN;Slovenia;CO2;1974;12476.66657
193;OECD_Europe;SWE;Sweden;CO2;1974;83495.05726
194;Russia +;RUS;Russia;CO2;1974;1536304.207
195;Ukraine +;UKR;Ukraine;CO2;1974;556145.6021
196;Ukraine +;BLR;Belarus;CO2;1974;76069.07592
197;Ukraine +;MDA;Moldova;CO2;1974;22970.68312
198;Central Europe;SRB;Serbia;CO2;1974;34106.7827328
199;Central Europe;MNE;Montenegro;CO2;1974;1421.1159472
200;Central Europe;ALB;Albania;CO2;1975;5424.117634
201;OECD_Europe;AUT;Austria;CO2;1975;56342.71259
202;OECD_Europe;BEL;Belgium;CO2;1975;127690.2673
203;Central Europe;BGR;Bulgaria;CO2;1975;78266.97412
204;Central Europe;BIH;Bosnia and Herzegovina;CO2;1975;13689.8475
205;OECD_Europe;CHE;Switzerland;CO2;1975;40634.1587
206;Central Europe;CYP;Cyprus;CO2;1975;2163.576557
207;Central Europe;CZE;Czech Republic;CO2;1975;177044.3627
208;OECD_Europe;DEU;Germany;CO2;1975;1060566.106
209;OECD_Europe;DNK;Denmark;CO2;1975;54667.37734
210;OECD_Europe;ESP;Spain;CO2;1975;184417.3013
211;Central Europe;EST;Estonia;CO2;1975;32073.94837
212;OECD_Europe;FIN;Finland;CO2;1975;44761.03109
213;OECD_Europe;FRA;France;CO2;1975;476495.436
214;OECD_Europe;GBR;United Kingdom;CO2;1975;623657.2376
215;OECD_Europe;GRC;Greece;CO2;1975;40512.26209
216;Central Europe;HRV;Croatia;CO2;1975;23668.29657
217;Central Europe;HUN;Hungary;CO2;1975;78410.5938
218;OECD_Europe;IRL;Ireland;CO2;1975;22706.64913
219;OECD_Europe;ISL;Iceland;CO2;1975;2373.588923
220;OECD_Europe;ITA;Italy;CO2;1975;356223.596
221;Central Europe;LTU;Lithuania;CO2;1975;26106.40453
222;OECD_Europe;LUX;Luxembourg;CO2;1975;14089.84836
223;Central Europe;LVA;Latvia;CO2;1975;14923.23184
224;Central Europe;MKD;North Macedonia;CO2;1975;8190.077088
225;Central Europe;MLT;Malta;CO2;1975;677.7373293
226;OECD_Europe;NLD;Netherlands;CO2;1975;140056.8933
227;OECD_Europe;NOR;Norway;CO2;1975;35963.73442
228;Central Europe;POL;Poland;CO2;1975;376974.5975
229;OECD_Europe;PRT;Portugal;CO2;1975;21997.60119
230;Central Europe;ROU;Romania;CO2;1975;159060.1694
231;Central Europe;SVK;Slovakia;CO2;1975;48154.86999
232;Central Europe;SVN;Slovenia;CO2;1975;12021.02233
233;OECD_Europe;SWE;Sweden;CO2;1975;85283.68868
234;Russia +;RUS;Russia;CO2;1975;1620822.372
235;Ukraine +;UKR;Ukraine;CO2;1975;582175.4079
236;Ukraine +;BLR;Belarus;CO2;1975;81716.71738
237;Ukraine +;MDA;Moldova;CO2;1975;24646.83763
238;Central Europe;SRB;Serbia;CO2;1975;35607.1857792
239;Central Europe;MNE;Montenegro;CO2;1975;1483.6327408
240;Central Europe;ALB;Albania;CO2;1976;5796.572813
241;OECD_Europe;AUT;Austria;CO2;1976;61678.91549
242;OECD_Europe;BEL;Belgium;CO2;1976;137334.1983
243;Central Europe;BGR;Bulgaria;CO2;1976;79142.34103
244;Central Europe;BIH;Bosnia and Herzegovina;CO2;1976;13547.28333
245;OECD_Europe;CHE;Switzerland;CO2;1976;42319.96995
246;Central Europe;CYP;Cyprus;CO2;1976;2631.473779
247;Central Europe;CZE;Czech Republic;CO2;1976;182448.0228
248;OECD_Europe;DEU;Germany;CO2;1976;1122934.719
249;OECD_Europe;DNK;Denmark;CO2;1976;60376.60254
250;OECD_Europe;ESP;Spain;CO2;1976;202622.3971
251;Central Europe;EST;Estonia;CO2;1976;33672.95684
252;OECD_Europe;FIN;Finland;CO2;1976;51000.30508
253;OECD_Europe;FRA;France;CO2;1976;521998.5081
254;OECD_Europe;GBR;United Kingdom;CO2;1976;629811.3453
255;OECD_Europe;GRC;Greece;CO2;1976;45464.56249
256;Central Europe;HRV;Croatia;CO2;1976;22901.85898
257;Central Europe;HUN;Hungary;CO2;1976;82382.41888
258;OECD_Europe;IRL;Ireland;CO2;1976;23275.34668
259;OECD_Europe;ISL;Iceland;CO2;1976;2396.021287
260;OECD_Europe;ITA;Italy;CO2;1976;382895.1357
261;Central Europe;LTU;Lithuania;CO2;1976;27261.38589
262;OECD_Europe;LUX;Luxembourg;CO2;1976;15022.87329
263;Central Europe;LVA;Latvia;CO2;1976;15546.7959
264;Central Europe;MKD;North Macedonia;CO2;1976;8614.553401
265;Central Europe;MLT;Malta;CO2;1976;764.7104685
266;OECD_Europe;NLD;Netherlands;CO2;1976;150841.3466
267;OECD_Europe;NOR;Norway;CO2;1976;38096.28158
268;Central Europe;POL;Poland;CO2;1976;401711.6455
269;OECD_Europe;PRT;Portugal;CO2;1976;23306.31733
270;Central Europe;ROU;Romania;CO2;1976;174856.7492
271;Central Europe;SVK;Slovakia;CO2;1976;49157.08178
272;Central Europe;SVN;Slovenia;CO2;1976;11588.2441
273;OECD_Europe;SWE;Sweden;CO2;1976;92383.70349
274;Russia +;RUS;Russia;CO2;1976;1681834.112
275;Ukraine +;UKR;Ukraine;CO2;1976;600139.6145
276;Ukraine +;BLR;Belarus;CO2;1976;85278.68764
277;Ukraine +;MDA;Moldova;CO2;1976;25477.37926
278;Central Europe;SRB;Serbia;CO2;1976;36965.0223456
279;Central Europe;MNE;Montenegro;CO2;1976;1540.2092644000002
280;Central Europe;ALB;Albania;CO2;1977;6200.933063
281;OECD_Europe;AUT;Austria;CO2;1977;58965.80494
282;OECD_Europe;BEL;Belgium;CO2;1977;134752.1565
283;Central Europe;BGR;Bulgaria;CO2;1977;82148.85503
284;Central Europe;BIH;Bosnia and Herzegovina;CO2;1977;14274.66335
285;OECD_Europe;CHE;Switzerland;CO2;1977;42742.88655
286;Central Europe;CYP;Cyprus;CO2;1977;2793.804261
287;Central Europe;CZE;Czech Republic;CO2;1977;192938.7869
288;OECD_Europe;DEU;Germany;CO2;1977;1101444.127
289;OECD_Europe;DNK;Denmark;CO2;1977;62082.49931
290;OECD_Europe;ESP;Spain;CO2;1977;194574.8701
291;Central Europe;EST;Estonia;CO2;1977;35047.82956
292;OECD_Europe;FIN;Finland;CO2;1977;50676.64624
293;OECD_Europe;FRA;France;CO2;1977;503432.955
294;OECD_Europe;GBR;United Kingdom;CO2;1977;638312.4783
295;OECD_Europe;GRC;Greece;CO2;1977;47686.58611
296;Central Europe;HRV;Croatia;CO2;1977;22520.0514
297;Central Europe;HUN;Hungary;CO2;1977;86279.54961
298;OECD_Europe;IRL;Ireland;CO2;1977;24866.27411
299;OECD_Europe;ISL;Iceland;CO2;1977;2465.755674
300;OECD_Europe;ITA;Italy;CO2;1977;371907.8584
301;Central Europe;LTU;Lithuania;CO2;1977;28227.43399
302;OECD_Europe;LUX;Luxembourg;CO2;1977;14287.97126
303;Central Europe;LVA;Latvia;CO2;1977;16029.8183
304;Central Europe;MKD;North Macedonia;CO2;1977;8884.824471
305;Central Europe;MLT;Malta;CO2;1977;808.9268184
306;OECD_Europe;NLD;Netherlands;CO2;1977;148544.0449
307;OECD_Europe;NOR;Norway;CO2;1977;39065.35481
308;Central Europe;POL;Poland;CO2;1977;416318.7596
309;OECD_Europe;PRT;Portugal;CO2;1977;23091.85369
310;Central Europe;ROU;Romania;CO2;1977;182939.6125
311;Central Europe;SVK;Slovakia;CO2;1977;51190.99832
312;Central Europe;SVN;Slovenia;CO2;1977;12616.30479
313;OECD_Europe;SWE;Sweden;CO2;1977;88469.58732
314;Russia +;RUS;Russia;CO2;1977;1719568.143
315;Ukraine +;UKR;Ukraine;CO2;1977;610537.6318
316;Ukraine +;BLR;Belarus;CO2;1977;88196.43746
317;Ukraine +;MDA;Moldova;CO2;1977;26067.60029
318;Central Europe;SRB;Serbia;CO2;1977;38951.962896
319;Central Europe;MNE;Montenegro;CO2;1977;1622.998454
320;Central Europe;ALB;Albania;CO2;1978;6820.995331
321;OECD_Europe;AUT;Austria;CO2;1978;60868.48509
322;OECD_Europe;BEL;Belgium;CO2;1978;139176.4848
323;Central Europe;BGR;Bulgaria;CO2;1978;88207.79036
324;Central Europe;BIH;Bosnia and Herzegovina;CO2;1978;14959.83238
325;OECD_Europe;CHE;Switzerland;CO2;1978;43948.99502
326;Central Europe;CYP;Cyprus;CO2;1978;2903.714938
327;Central Europe;CZE;Czech Republic;CO2;1978;190771.5456
328;OECD_Europe;DEU;Germany;CO2;1978;1139316.953
329;OECD_Europe;DNK;Denmark;CO2;1978;62020.4464
330;OECD_Europe;ESP;Spain;CO2;1978;193408.0075
331;Central Europe;EST;Estonia;CO2;1978;37322.64606
332;OECD_Europe;FIN;Finland;CO2;1978;57125.46261
333;OECD_Europe;FRA;France;CO2;1978;521446.5316
334;OECD_Europe;GBR;United Kingdom;CO2;1978;636477.1186
335;OECD_Europe;GRC;Greece;CO2;1978;50303.71226
336;Central Europe;HRV;Croatia;CO2;1978;23584.09356
337;Central Europe;HUN;Hungary;CO2;1978;93694.56351
338;OECD_Europe;IRL;Ireland;CO2;1978;24665.95592
339;OECD_Europe;ISL;Iceland;CO2;1978;2540.86107
340;OECD_Europe;ITA;Italy;CO2;1978;379300.9867
341;Central Europe;LTU;Lithuania;CO2;1978;29333.8879
342;OECD_Europe;LUX;Luxembourg;CO2;1978;15472.69862
343;Central Europe;LVA;Latvia;CO2;1978;16677.06492
344;Central Europe;MKD;North Macedonia;CO2;1978;8598.670335
345;Central Europe;MLT;Malta;CO2;1978;942.3806483
346;OECD_Europe;NLD;Netherlands;CO2;1978;153342.0137
347;OECD_Europe;NOR;Norway;CO2;1978;38030.94077
348;Central Europe;POL;Poland;CO2;1978;444217.0873
349;OECD_Europe;PRT;Portugal;CO2;1978;23961.82681
350;Central Europe;ROU;Romania;CO2;1978;198315.7584
351;Central Europe;SVK;Slovakia;CO2;1978;57420.92875
352;Central Europe;SVN;Slovenia;CO2;1978;13273.90689
353;OECD_Europe;SWE;Sweden;CO2;1978;82964.74901
354;Russia +;RUS;Russia;CO2;1978;1841685.434
355;Ukraine +;UKR;Ukraine;CO2;1978;653217.529
356;Ukraine +;BLR;Belarus;CO2;1978;91829.38652
357;Ukraine +;MDA;Moldova;CO2;1978;27057.3822
358;Central Europe;SRB;Serbia;CO2;1978;41873.227478400004
359;Central Europe;MNE;Montenegro;CO2;1978;1744.7178116000002
360;Central Europe;ALB;Albania;CO2;1979;7936.703043
361;OECD_Europe;AUT;Austria;CO2;1979;63308.34978
362;OECD_Europe;BEL;Belgium;CO2;1979;148419.6727
363;Central Europe;BGR;Bulgaria;CO2;1979;91484.91799
364;Central Europe;BIH;Bosnia and Herzegovina;CO2;1979;15456.68096
365;OECD_Europe;CHE;Switzerland;CO2;1979;42629.78414
366;Central Europe;CYP;Cyprus;CO2;1979;3098.403506
367;Central Europe;CZE;Czech Republic;CO2;1979;200516.008
368;OECD_Europe;DEU;Germany;CO2;1979;1189477.081
369;OECD_Europe;DNK;Denmark;CO2;1979;65441.29415
370;OECD_Europe;ESP;Spain;CO2;1979;205161.4666
371;Central Europe;EST;Estonia;CO2;1979;38819.29808
372;OECD_Europe;FIN;Finland;CO2;1979;56890.75814
373;OECD_Europe;FRA;France;CO2;1979;529021.1302
374;OECD_Europe;GBR;United Kingdom;CO2;1979;672663.5652
375;OECD_Europe;GRC;Greece;CO2;1979;53216.07005
376;Central Europe;HRV;Croatia;CO2;1979;25171.55575
377;Central Europe;HUN;Hungary;CO2;1979;92335.45301
378;OECD_Europe;IRL;Ireland;CO2;1979;29012.6296
379;OECD_Europe;ISL;Iceland;CO2;1979;2627.949919
380;OECD_Europe;ITA;Italy;CO2;1979;395252.101
381;Central Europe;LTU;Lithuania;CO2;1979;30321.37308
382;OECD_Europe;LUX;Luxembourg;CO2;1979;14653.9404
383;Central Europe;LVA;Latvia;CO2;1979;17187.9913
384;Central Europe;MKD;North Macedonia;CO2;1979;9762.624988
385;Central Europe;MLT;Malta;CO2;1979;918.718145
386;OECD_Europe;NLD;Netherlands;CO2;1979;162778.4304
387;OECD_Europe;NOR;Norway;CO2;1979;40816.15934
388;Central Europe;POL;Poland;CO2;1979;444839.3838
389;OECD_Europe;PRT;Portugal;CO2;1979;26731.0248
390;Central Europe;ROU;Romania;CO2;1979;203312.2681
391;Central Europe;SVK;Slovakia;CO2;1979;58682.38518
392;Central Europe;SVN;Slovenia;CO2;1979;14060.72123
393;OECD_Europe;SWE;Sweden;CO2;1979;86105.89412
394;Russia +;RUS;Russia;CO2;1979;1867646.909
395;Ukraine +;UKR;Ukraine;CO2;1979;667046.8342
396;Ukraine +;BLR;Belarus;CO2;1979;95034.69242
397;Ukraine +;MDA;Moldova;CO2;1979;27717.49843
398;Central Europe;SRB;Serbia;CO2;1979;43559.8448448
399;Central Europe;MNE;Montenegro;CO2;1979;1814.9935352
400;Central Europe;ALB;Albania;CO2;1980;8073.499079
401;OECD_Europe;AUT;Austria;CO2;1980;61452.92233
402;OECD_Europe;BEL;Belgium;CO2;1980;137777.8999
403;Central Europe;BGR;Bulgaria;CO2;1980;94605.97022
404;Central Europe;BIH;Bosnia and Herzegovina;CO2;1980;14894.13193
405;OECD_Europe;CHE;Switzerland;CO2;1980;43393.6268
406;Central Europe;CYP;Cyprus;CO2;1980;3269.900139
407;Central Europe;CZE;Czech Republic;CO2;1980;193513.2673
408;OECD_Europe;DEU;Germany;CO2;1980;1135598.396
409;OECD_Europe;DNK;Denmark;CO2;1980;64867.85272
410;OECD_Europe;ESP;Spain;CO2;1980;214933.285
411;Central Europe;EST;Estonia;CO2;1980;40285.59757
412;OECD_Europe;FIN;Finland;CO2;1980;57417.56863
413;OECD_Europe;FRA;France;CO2;1980;507050.0431
414;OECD_Europe;GBR;United Kingdom;CO2;1980;608325.396
415;OECD_Europe;GRC;Greece;CO2;1980;53328.05174
416;Central Europe;HRV;Croatia;CO2;1980;22718.5922
417;Central Europe;HUN;Hungary;CO2;1980;91603.81419
418;OECD_Europe;IRL;Ireland;CO2;1980;27891.4725
419;OECD_Europe;ISL;Iceland;CO2;1980;2432.692228
420;OECD_Europe;ITA;Italy;CO2;1980;398015.9064
421;Central Europe;LTU;Lithuania;CO2;1980;31584.13641
422;OECD_Europe;LUX;Luxembourg;CO2;1980;13672.11468
423;Central Europe;LVA;Latvia;CO2;1980;17853.33118
424;Central Europe;MKD;North Macedonia;CO2;1980;8957.921031
425;Central Europe;MLT;Malta;CO2;1980;1020.834426
426;OECD_Europe;NLD;Netherlands;CO2;1980;155165.9871
427;OECD_Europe;NOR;Norway;CO2;1980;39119.35692
428;Central Europe;POL;Poland;CO2;1980;456308.6843
429;OECD_Europe;PRT;Portugal;CO2;1980;28370.29255
430;Central Europe;ROU;Romania;CO2;1980;200812.7185
431;Central Europe;SVK;Slovakia;CO2;1980;62736.94064
432;Central Europe;SVN;Slovenia;CO2;1980;14274.99879
433;OECD_Europe;SWE;Sweden;CO2;1980;78628.98746
434;Russia +;RUS;Russia;CO2;1980;1929311.384
435;Ukraine +;UKR;Ukraine;CO2;1980;684872.3042
436;Ukraine +;BLR;Belarus;CO2;1980;98566.80178
437;Ukraine +;MDA;Moldova;CO2;1980;28836.34344
438;Central Europe;SRB;Serbia;CO2;1980;42752.2584384
439;Central Europe;MNE;Montenegro;CO2;1980;1781.3441016
440;Central Europe;ALB;Albania;CO2;1981;7072.604242
441;OECD_Europe;AUT;Austria;CO2;1981;57991.83826
442;OECD_Europe;BEL;Belgium;CO2;1981;125869.239
443;Central Europe;BGR;Bulgaria;CO2;1981;90719.5299
444;Central Europe;BIH;Bosnia and Herzegovina;CO2;1981;16495.81242
445;OECD_Europe;CHE;Switzerland;CO2;1981;41015.21925
